named_option_year,named_option_month,last_trading_date,last_trading_time_chicago,last_trading_datetime_utc,underlying_future_month_code,underlying_future_year,contract_class,rule_reference
2022,1,2021-12-23,16:00:00,2021-12-23T22:00:00Z,H,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,2,2022-01-21,16:00:00,2022-01-21T22:00:00Z,H,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,3,2022-02-18,16:00:00,2022-02-18T22:00:00Z,H,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,4,2022-03-25,16:00:00,2022-03-25T21:00:00Z,M,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,5,2022-04-22,16:00:00,2022-04-22T21:00:00Z,M,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,6,2022-05-20,16:00:00,2022-05-20T21:00:00Z,M,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,7,2022-06-24,16:00:00,2022-06-24T21:00:00Z,U,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,8,2022-07-22,16:00:00,2022-07-22T21:00:00Z,U,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,9,2022-08-26,16:00:00,2022-08-26T21:00:00Z,U,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,10,2022-09-23,16:00:00,2022-09-23T21:00:00Z,Z,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,11,2022-10-21,16:00:00,2022-10-21T21:00:00Z,Z,2022,quarterly_or_serial,CBOT Rule 19A01.I
2022,12,2022-11-25,16:00:00,2022-11-25T22:00:00Z,Z,2022,quarterly_or_serial,CBOT Rule 19A01.I
2023,1,2022-12-23,16:00:00,2022-12-23T22:00:00Z,H,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,2,2023-01-27,16:00:00,2023-01-27T22:00:00Z,H,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,3,2023-02-24,16:00:00,2023-02-24T22:00:00Z,H,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,4,2023-03-24,16:00:00,2023-03-24T21:00:00Z,M,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,5,2023-04-21,16:00:00,2023-04-21T21:00:00Z,M,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,6,2023-05-26,16:00:00,2023-05-26T21:00:00Z,M,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,7,2023-06-23,16:00:00,2023-06-23T21:00:00Z,U,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,8,2023-07-21,16:00:00,2023-07-21T21:00:00Z,U,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,9,2023-08-25,16:00:00,2023-08-25T21:00:00Z,U,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,10,2023-09-22,16:00:00,2023-09-22T21:00:00Z,Z,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,11,2023-10-27,16:00:00,2023-10-27T21:00:00Z,Z,2023,quarterly_or_serial,CBOT Rule 19A01.I
2023,12,2023-11-24,16:00:00,2023-11-24T22:00:00Z,Z,2023,quarterly_or_serial,CBOT Rule 19A01.I
2024,1,2023-12-22,16:00:00,2023-12-22T22:00:00Z,H,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,2,2024-01-26,16:00:00,2024-01-26T22:00:00Z,H,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,3,2024-02-23,16:00:00,2024-02-23T22:00:00Z,H,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,4,2024-03-22,16:00:00,2024-03-22T21:00:00Z,M,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,5,2024-04-26,16:00:00,2024-04-26T21:00:00Z,M,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,6,2024-05-24,16:00:00,2024-05-24T21:00:00Z,M,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,7,2024-06-21,16:00:00,2024-06-21T21:00:00Z,U,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,8,2024-07-26,16:00:00,2024-07-26T21:00:00Z,U,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,9,2024-08-23,16:00:00,2024-08-23T21:00:00Z,U,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,10,2024-09-20,16:00:00,2024-09-20T21:00:00Z,Z,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,11,2024-10-25,16:00:00,2024-10-25T21:00:00Z,Z,2024,quarterly_or_serial,CBOT Rule 19A01.I
2024,12,2024-11-22,16:00:00,2024-11-22T22:00:00Z,Z,2024,quarterly_or_serial,CBOT Rule 19A01.I
