event_id,event_time_utc,event_name,event_type
2022-01-26-fomc-press-release,2022-01-26T19:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-03-16-fomc-press-release,2022-03-16T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-05-04-fomc-press-release,2022-05-04T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-06-15-fomc-press-release,2022-06-15T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-07-27-fomc-press-release,2022-07-27T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-09-21-fomc-press-release,2022-09-21T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-11-02-fomc-press-release,2022-11-02T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2022-12-14-fomc-press-release,2022-12-14T19:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-02-01-fomc-press-release,2023-02-01T19:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-03-22-fomc-press-release,2023-03-22T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-05-03-fomc-press-release,2023-05-03T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-06-14-fomc-press-release,2023-06-14T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-07-26-fomc-press-release,2023-07-26T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-09-20-fomc-press-release,2023-09-20T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-11-01-fomc-press-release,2023-11-01T18:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
2023-12-13-fomc-press-release,2023-12-13T19:00:00Z,FOMC press release,FOMC_PRESS_RELEASE
